RegionCode,RegionName,RefHeight,FLorValley,Country,Url
NW,North West Highlands,900m,FL,Scotland,https://www.mwis.org.uk/forecasts/scottish/the-northwest-highlands/text
WH,West Highlands,900m,FL,Scotland,https://www.mwis.org.uk/forecasts/scottish/west-highlands/text
EH,Eastern Highlands,900m,FL,Scotland,https://www.mwis.org.uk/forecasts/scottish/cairngorms-np-and-monadhliath/text
SH,South East Scotland,900m,FL,Scotland,https://www.mwis.org.uk/forecasts/scottish/southeastern-highlands/text
SU,Southern Uplands,750m,FL,Scotland,https://www.mwis.org.uk/forecasts/scottish/southern-uplands/text
LD,Lake District,750m,FL,England,https://www.mwis.org.uk/forecasts/english-and-welsh/lake-district/text
YD,Yorkshire Dales & North Pennines,700m,Valley,England,https://www.mwis.org.uk/forecasts/english-and-welsh/yorkshire-dales-and-north-pennines/text
PD,Peak District,600m,Valley,England,https://www.mwis.org.uk/forecasts/english-and-welsh/peak-district/text
SD,Snowdonia & North Wales,900m,FL,Wales,https://www.mwis.org.uk/forecasts/english-and-welsh/snowdonia-national-park/text
BB,Brecon Beacons,750m,FL,Wales,https://www.mwis.org.uk/forecasts/english-and-welsh/brecon-beacons/text
