Number,Name,RegionCode
1,Ben Vane,WH
2,Beinn Narnain,WH
3,Ben Vorlich,WH
4,Beinn Ime,WH
5,Ben Hope,NW
6,Ben Klibreck,NW
7,Conival,NW
8,Ben More Assynt,NW
9,Stob a'Choire Odhair,WH
10,Stob Ghabhar,WH
11,Creise,WH
12,Meall a'Bhuiridh,WH
13,Beinn Bhreac,EH
14,The Devil's Point,EH
15,Mullach Clach a'Bhlair,EH
16,Carn a'Mhaim,EH
17,Beinn a'Chaorainn,EH
18,Bynack More,EH
19,Monadh Mor,EH
20,Sgor Gaoith,EH
21,Derry Cairngorm,EH
22,Beinn Bhrotain,EH
23,"Leabaidh an Daimh Bhuidhe, Ben Avon",EH
24,Beinn Mheadhoin,EH
25,Beinn a'Bhuird,EH
26,Cairn Gorm,EH
27,Sgor an Lochain Uaine,EH
28,Cairn Toul,EH
29,Braeriach,EH
30,Ben Macdui,EH
31,"Glas Leathad Mor, Ben Wyvis",NW
32,"Carn Liath, Beinn a'Ghlo",SH
33,"Braigh Coire Chruinn-bhalgain, Beinn a'Ghlo",SH
34,"Carn nan Gabhar, Beinn a'Ghlo",SH
35,Beinn Dearg,SH
36,A'Bhuidheanach Bheag,EH
37,Carn na Caim,EH
38,Meall Chuaich,EH
39,A'Ghlas-Bheinn,NW
40,An Socach,SH
41,Mullach na Dheiragain,NW
42,Beinn Fhionnlaidh,WH
43,Beinn Fhada,NW
44,Toll Creagach,NW
45,Tom a' Choinich,NW
46,Sgurr nan Ceathreamhnan,NW
47,Mam Sodhail,NW
48,Carn Eighe,NW
49,Carn an t-Sagairt Mor,EH
50,Carn a'Coire Boidheach,EH
51,Carn nan Gobhar,NW
52,An Socach,SH
53,An Riabhachan,NW
54,Sgurr na Lapaich,NW
55,Beinn Liath Mhor,NW
56,Moruisg,NW
57,Maol Chean-dearg,NW
58,Bidean a'Choire Sheasgaich,WH
59,Sgorr Ruadh,NW
60,Lurg Mhor,NW
61,Sgurr Choinnich,WH
62,Maoile Lunndaidhe,NW
63,Sgurr a'Chaorachain,NW
64,Carn Aosda,SH
65,The Cairnwell,SH
66,Tom Buidhe,SH
67,Tolmount,SH
68,Carn a'Gheoidh,SH
69,Creag Leacach,SH
70,Carn an Tuirc,SH
71,Cairn of Claise,SH
72,Glas Maol,SH
73,"Stob Coire Raineach, Buachaille Etive Beag",WH
74,"Stob Dubh, Buachaille Etive Beag",WH
75,"Meall Dearg, Aonach Eagach",WH
76,"Sgorr nam Fiannaidh, Aonach Eagach",WH
77,"Stob na Broige, Buachaille Etive Mor",WH
78,"Stob Dearg, Buachaille Etive Mor",WH
79,Sgor na h-Ulaidh,WH
80,Stob Coire Sgreamhach,WH
81,Bidean nam Bian,WH
82,Beinn Sgulaird,WH
83,Sgurr nan Coireachan,NW
84,Garbh Chioch Mhor,NW
85,Sgurr na Ciche,NW
86,Stob Binnein,WH
87,Ben More,NW
88,Mayar,SH
89,Driesh,SH
90,Mount Keen,SH
91,Meall nan Eun,WH
92,Beinn Fhionnlaidh,WH
93,Beinn nan Aighenan,WH
94,Glas Bheinn Mhor,WH
95,Stob Coir'an Albannaich,WH
96,Ben Starav,WH
97,An Socach,SH
98,Carn Bhac,EH
99,Beinn Iutharn Mhor,EH
100,Beinn Chabhair,WH
101,Beinn a'Chroin,WH
102,Beinn Tulaichean,WH
103,An Caisteal,WH
104,Cruach Ardrain,WH
105,Sgurr nan Coireachan,NW
106,Sgurr Thuilm,WH
107,Beinnn Bhuidhe,WH
108,Gairich,NW
109,"Sgurr Mor, Loch Quoich",NW
110,Ben Chonzie,SH
111,Sgiath Chuil,WH
112,Meall Glas,WH
113,Creag Mhor,WH
114,Beinn Heasgarnich,WH
115,Carn an Righ,SH
116,Glas Tulaichean,SH
117,Beinn a'Chleibh,WH
118,Ben Lui,WH
119,Meall Buidhe,SH
120,Stuchd an Lochain,SH
121,Meall Garbh,SH
122,Creag Mhor,WH
123,Carn Gorm,SH
124,Meall Ghaordaidh,SH
125,Carn Mairg,SH
126,Broad Cairn,EH
127,Cairn Bannoch,EH
128,Lochnagar,EH
129,Creag nan Damh,NW
130,Sgurr na Sgine,NW
131,Creag a'Mhaim,NW
132,Saileag,NW
133,Maol Chinn-dearg,NW
134,Druim Shionnach,NW
135,Sgurr na Carnach,NW
136,Aonach Meadhoin,NW
137,Sgurr an Lochain,NW
138,Sgurr an Doire Leathain,NW
139,The Saddle,NW
140,Aonach air Chrith,NW
141,Sgurr na Ciste Duibhe,NW
142,Sgurr a' Bhealaich Dheirg,NW
143,Sgurr Fhuaran,NW
144,Carn nan Gobhar,NW
145,Sgurr na Ruaidhe,NW
146,Sgurr Fuar-thuill,NW
147,Sgurr a'Choire Ghlais,NW
148,Carn a'Chlamain,SH
149,Stob Ban,WH
150,Stob Coire an Laoigh,WH
151,Stob Choire Claurigh,WH
152,Luinne Bheinn,NW
153,Meall Buidhe,SH
154,Ladhar Bheinn,NW
155,Ruadh Stac Mor,NW
156,Beinn Tarsuinn,NW
157,A'Mhaighdean,NW
158,Sgurr Ban,NW
159,Mullach Coire Mhic Fhearchair,NW
160,"Sgurr Fiona, An Teallach",NW
161,"Bidein a'Ghlas Thuill, An Teallach",NW
162,Beinn a'Chochuill,WH
163,Beinn Eunaich,WH
164,Stob Diamh,WH
165,Ben Cruachan,WH
166,Seana Bhraigh,NW
167,Eididh nan Clach Geala,NW
168,Meall nan Ceapraichean,NW
169,Beinn Dearg,SH
170,Carn Ghluasaid,NW
171,Ciste Dhubh,NW
172,Sail Chaorainn,NW
173,Mullach Fraoch-choire,NW
174,Sgurr nan Conbhairean,NW
175,A'Chralaig,NW
176,Stuc a'Chroin,SH
177,Ben Vorlich,WH
178,Gulvain,WH
179,Geal-charn,WH
180,A'Mharconaich,EH
181,Sgairneach Mhor,EH
182,Beinn Udlamain,EH
183,Beinn Bheoil,WH
184,Carn Dearg,WH
185,Beinn Eibhinn,WH
186,Aonach Beag,WH
187,Geal-Charn,WH
188,Ben Alder,WH
189,An Coileachan,NW
190,Sgurr nan Each,NW
191,Fionn Bheinn,NW
192,Meall a'Chrasgaidh,NW
193,Meall Gorm,NW
194,Beinn Liath Mhor Fannaich,NW
195,A'Chailleach,EH
196,Sgurr Breac,NW
197,Sgurr nan Clach Geala,NW
198,Sgurr Mor,NW
199,Am Faochagach,NW
200,Cona'Mheall,NW
201,Beinn Sgritheall,NW
202,Beinn Teallach,WH
203,Carn Liath,SH
204,Beinn a'Chaorainn,EH
205,Stob Poite Coire Ardair,WH
206,Creag Meagaidh,WH
207,Sgorr Dhonuill,WH
208,Sgorr Dhearg,WH
209,Meall na Teanga,NW
210,Sron a'Choire Ghairbh,NW
211,Ben Lomond,WH
212,Beinn Mhanach,WH
213,Beinn an Dothaidh,WH
214,Beinn Achaladair,WH
215,Beinn Dorain,WH
216,Beinn a'Chreachain,WH
217,Slioch,NW
218,Beinn na Lap,WH
219,Carn Dearg,WH
220,Sgor Gaibhre,WH
221,Creag Pitridh,WH
222,Geal Charn,WH
223,Beinn a'Chlachair,WH
224,Spidean Mialach,NW
225,Sgurr a'Mhaoraich,NW
226,Gleouraich,NW
227,"Meall a'Choire Leith, Ben Lawers",SH
228,"Meall Greigh, Ben Lawers",SH
229,"Meall Corranaich, Ben Lawers",SH
230,Schiehallion,SH
231,"Beinn Ghlas, Ben Lawers",SH
232,"An Stuc, Ben Lawers",SH
233,"Meall Garbh, Ben Lawers",SH
234,Ben Lawers,SH
235,Stob Coire Sgriodain,WH
236,Chno Dearg,WH
237,Stob a'Choire Mheadhoin,WH
238,Stob Coire Easain,WH
239,Sgurr Choinnich Mor,WH
240,Aonach Mor,WH
241,Carn Mor Dearg,WH
242,Aonach Beag,WH
243,Ben Nevis,WH
244,Mullach nan Coirean,WH
245,Binnein Beag,WH
246,Stob Coire a'Chairn,WH
247,An Gearanach,WH
248,Stob Ban,WH
249,Sgurr Eilde Mor,WH
250,Am Bodach,WH
251,Na Gruagaichean,WH
252,Sgurr a'Mhaim,WH
253,Binnein Mor,WH
254,Carn Sgulain,EH
255,Geal Charn,WH
256,A'Chailleach,EH
257,Carn Dearg,WH
258,Ben More,NW
259,Sgurr a'Mhadaidh,NW
260,Sgurr nan Eag,NW
261,Blaven,NW
262,Am Basteir,NW
263,Sgurr Dubh Mor,NW
264,Sgurr Mhic Choinnich,NW
265,Bruach na Frithe,NW
266,Sgurr nan Gillean,NW
267,Sgurr na Banachdich,NW
268,Sgurr a'Ghreadaidh,NW
269,Inaccessible Pinnacle,NW
270,Fionn Bheinn,NW
271,Beinn Dubhchraig,WH
272,Ben Challum,WH
273,Ben Oss,WH
274,Carn an Fhidhleir,EH
275,An Sgarsoch,EH
276,Meall nan Tarmachan,SH
277,"Tom na Gruagaich, Beinn Alligin",NW
278,"Sgurr Mhor, Beinn Alligin",NW
279,"Spidean Coire nan Clach, Beinn Eighe",NW
280,"Ruadh-stac Mor, Beinn Eighe",NW
281,"Mullach an Rathain, Liathach",NW
282,"Spidean a'Choire Leith, Liathach",NW
